Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Senior Data Engineer,Discord,"San Francisco, CA",$183K - $202K (Employer est.),"Discord is about giving people the power to create space to find belonging in their lives. We want to make it easier for you to talk regularly with the people you care about. We want you to build genuine relationships with your friends and communities close to home or around the world. Original, reliable, playful, and relatable. These are the values that connect our users and our employees at Discord. Discord is looking for experienced and passionate Senior Data Engineers to join our Data team! Data Engineers at Discord collaborate with data science and engineering teams to build and support foundational high-leverage data sets that power tools, analyses, and models. The data sets built by DE directly inform how we identify opportunities, measure success, and make decisions. If this sounds exciting to you and you’re passionate about data, impact, and working on an amazing team, read on! What you will be doing: Create and maintain data pipelines and foundational datasets to support analytics, modeling, experimentation, and product/business needs Design and build database architectures with massive and complex data, balancing ergonomic benefits with computational load and cost Collaborate closely with data science, machine learning, and engineering teams to improve the coverage, accuracy, and reliability of instrumentation Develop audits for data quality at scale, implementing alerting and anomaly detection as necessary Create scalable dashboards and reports to support business objectives and enable data-driven decision making Partner with data scientists, engineers, and product teams to accomplish all of the above! What you should have 4+ years of experience building data pipelines in production environments with high volumes of consumer data 4+ years of experience in designing, developing, and maintaining robust data models from structured and unstructured sources 4+ years of experience writing accurate and effective code in SQL and Python Experience implementing and monitoring audits for data quality with massive data sets (e.g. billions of rows) Experience proactively identifying opportunities to improve ETL &amp; dashboard performance and cost Experience leveraging your excellent communication and stakeholder management skills to thrive in ambiguous environments where problems are not well-defined and evolve quickly A desire to work with amazing, passionate people who care deeply about solving challenging problems to improve Discord Last but not least - a collaborative attitude and a healthy dose of natural curiosity! Bonus Points: Passion for Discord or online communities Experience owning and proactively improving the data models for a functional area leveraging deep knowledge of performant scalable patterns Experience collaborating directly with data science, machine learning, and product engineering teams Experience with modern data storage and processing technologies (i.e. BigQuery SQL, Airflow, and DBT or similar) Experience with data visualization and dashboarding technologies (i.e. Looker, Tableau, or similar) Experience with designing data architecture to power a variety of use cases, including experimentation #LI-RemoteThe US base salary range for this full-time position is $183,000 to $201,500 + equity + benefits. Our salary ranges are determined by role and level. Within the range, individual pay is determined by additional factors, including job-related skills, experience, and relevant education or training. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include equity, or benefits.Why Discord?Discord is great for playing games and chilling with friends, or even building a worldwide community. We are working toward forming true connections around play and shared experiences, where genuine human connection is a click, text chat, or voice call away. A place where everyone can build genuine friendships. Your future is just a click away! Check out ourinclusion, diversity and purpose efforts, company principles, or learn more about the Life @ Discord experience!
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/senior-data-engineer-discord-JV_IC1147401_KO0,20_KE21,28.htm?jl=1009439789756"
Battery Data Engineer,Fluence Energy,"Houston, TX",$83K - $129K (Glassdoor est.),"Fluence is a leader in energy storage solutions, committed to innovation and excellence in battery technology. We are dedicated to advancing the integration of renewable energy and ensuring the reliability and efficiency of energy storage systems. Join our team and contribute to a sustainable future.
We are seeking a highly skilled and experienced Senior Battery Data Engineer to join our Battery Systems Engineering team. The Senior Battery Data Engineer will be responsible for developing, implementing, and optimizing data pipelines and architectures to collect, process, and analyze battery performance and health data. This role will provide technical leadership and work closely with cross-functional teams to support data-driven decision-making and enhance our battery intelligence solutions.
Show more",N/A,6d,"https://www.glassdoor.com/job-listing/battery-data-engineer-fluence-energy-JV_IC1140171_KO0,21_KE22,36.htm?jl=1009433828879"
API Data Engineer,Wounded Warrior Project,"Jacksonville, FL",$82K - $117K (Glassdoor est.),"Great benefits. Competitive pay. We know these are some of the things people look for in a job.

If you’re the kind of person who believes that honoring and empowering our nation’s veterans is more than just a cause — that it’s a calling — then we’re ready to meet you.
When you join Wounded Warrior Project® (WWP), you’re committing to making a difference. We make a commitment to you, too – helping you to find that spark, ignite your passion to serve, and embark on a career with meaning and purpose.

At WWP™, we recognize our mission cannot be accomplished without our talented teammates, which is why we’re proud to offer benefits such as:
The Wounded Warrior Project (WWP) API Data Engineer is a member of the Web, Data, and Analytics team responsible for data engineering and programming to build systems that collect, manage and convert raw data into usable information for business analysts. This role is responsible for creating and maintaining data pipelines, databases, and an enterprise data warehouse.



Show more",N/A,27d,"https://www.glassdoor.com/job-listing/api-data-engineer-wounded-warrior-project-JV_IC1154093_KO0,17_KE18,41.htm?jl=1009406739556"
Sr. Data Engineer,GoodRx,"Santa Monica, CA",$121K - $257K (Employer est.),"GoodRx is the leading prescription savings platform in the U.S. Trusted by more than 25 million consumers and 750,000 healthcare professionals annually, GoodRx provides access to savings and affordability options for generic and brand-name medications at more than 70,000 pharmacies nationwide, as well as comprehensive healthcare research and information. Since 2011, GoodRx has helped consumers save nearly $75 billion on the cost of their prescriptions.
Our goal is to help Americans find convenient and affordable healthcare. We offer solutions for consumers, employers, health plans, and anyone else who shares our desire to provide affordable prescriptions to all Americans.
About the Role:
GoodRx is looking for extremely smart and curious data engineers, who are deft at working with a wide variety of languages, a variety of raw data formats, such as parquet, in a fast-paced and friendly environment. You will collaborate and work with teams across GoodRx to build outstanding data pipelines and processes that stitch together complex sets of data stores in order to guide business decisions.
Engineering teams are responsible for supporting appropriate security controls, including management, operational, and technical controls in addition to general GoodRx best practices, such as reading and adhering to the security policies and procedures, being vigilant and observant of potential security threats, etc.
$161,000.00 - $257,000.00
$147,000.00 - $235,000.00
$134,000.00 - $214,000.00
$121,000.00 - $193,000.00
Show more",N/A,15d,"https://www.glassdoor.com/job-listing/sr-data-engineer-goodrx-JV_IC1146873_KO0,16_KE17,23.htm?jl=1009420840828"
Emerging Field Data Engineer/Specialist,"Kia America, Inc.","Irvine, CA",$72K - $94K (Employer est.),"At Kia, we’re creating award-winning products and redefining what value means in the automotive industry. It takes a special group of individuals to do what we do, and we do it together. Our culture is fast-paced, collaborative, and innovative. Our people thrive on thinking differently and challenging the status quo. We are creating something special here, a culture of learning and opportunity, where you can help Kia achieve big things and most importantly, feel passionate and connected to your work every day.
Kia provides team members with competitive benefits including premium paid medical, dental and vision coverage for you and your dependents, 401(k) plan matching of 100% up to 6% of the salary deferral, and time off starting at 14 days per year. Kia also offers company lease and purchase programs, company-wide holiday shutdown, paid volunteer hours, and premium lifestyle amenities at our corporate campus in Irvine, California.






Show more",N/A,8d,"https://www.glassdoor.com/job-listing/emerging-field-data-engineer-specialist-kia-america-inc-JV_IC1146798_KO0,39_KE40,55.htm?jl=1009431661114"
Data Engineer Intermediate,Sundyne,"Arvada, CO",$120K - $125K (Employer est.),"It's fun to work in a company where people truly BELIEVE in what they are doing!
Headquartered in Arvada, Colorado with operations and presence in Europe, the Middle East, India, Asia, Japan and China, Sundyne is a global manufacturer of precision-engineered, highly reliable, safe and efficient centrifugal pumps and compressors for use in chemical, petrochemical, hydrocarbon, hydrogen, pharmaceutical, power generation and industrial applications. Sundyne is a leader in delivering precision-engineered and highly reliable pumps & compressors to many of the world’s most important markets, including energy, chemical, industrial, carbon capture, clean hydrogen, and renewable fuels. Sundyne pumps and compressors are available in API, ANSI/ASME, ISO and other industry compliant designs. To learn more about the Sundyne family of precision-engineered pumps and compressors, please visit
.




Annual Salary: $120,000.00 - $125,000.00
The Salary offered will be determined based on the applicant’s education, experience, skills, knowledge, abilities, and will be compared with internal equity along with market data for this position. This position may be eligible to participate in the Company’s Sales Incentive Plan with a target of up to 30% of base salary, subject to the terms and conditions of the plan. Payment is based on individual performance against established sales targets. This position may also be eligible to receive a Relocation bonus, payable as a taxable lump sum, in accordance with the Sundyne Relocation Policy.
2024-10-30
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-intermediate-sundyne-JV_IC1148155_KO0,26_KE27,34.htm?jl=1009332044309"
Senior Data Engineer,Tricon Residential,"Huntersville, NC",$98K - $135K (Glassdoor est.),"locations
Huntersville, NC
time type
Full time
posted on
Posted 13 Days Ago
job requisition id
JR102419
Tricon Residential is an owner and operator of a growing portfolio of more than 38,000 single-family rental homes in the U.S. Sun Belt and multi-family apartments in Canada. Our commitment to enriching the lives of our employees, residents and local communities underpins Tricon’s culture and business philosophy. We provide high-quality rental housing options for families across the United States and Canada through our technology-enabled operating platform and dedicated on-the-ground operating teams. Our development programs are also delivering thousands of new rental homes and apartments as part of our commitment to help solve the housing supply shortage. At Tricon, we imagine a world where housing unlocks life’s potential.
As a Senior Data Engineer, you will be responsible for developing best practices and making architectural decisions to rapidly improve critical data processing & analytics pipelines. You will tackle hard problems to improve the platform’s reliability, resiliency, and scalability. You will provide technical leadership, lead data engineering initiatives and build end-to-end analytical solutions that are highly available, scalable, stable, secure, and cost-effective. You strive for simplicity, demonstrate creativity and sound judgement. You deliver data solutions that are customer focused, easy to consume and create business impact. We are looking for someone who thrives on autonomy and has experience driving long-term projects to completion. You are detail and quality oriented, and excited about the prospects of having a big impact with data at Tricon Residential. Our tech stack includes Informatica, Matillion/Altryx, Snowflake, Power BI/Tableau and various AWS/Azure services.
Show more",N/A,12d,"https://www.glassdoor.com/job-listing/senior-data-engineer-tricon-residential-JV_IC1138654_KO0,20_KE21,39.htm?jl=1009425150401"
IT Infrastructure Engineer - Data Networking,enGen,"Pittsburgh, PA",$67K - $100K (Glassdoor est.),"Company :
enGen
Job Description :
JOB SUMMARY
***CANDIDATE MUST BE US Citizen (due to contractual/access requirements)***
Successful candidate will be able to effectively manage and maintain an enterprise-level data network focusing on security, wireless and monitoring tools such as Cisco ISE, Solarwinds, DNAC, Wireless Controllers and AP’s. Routing and switching experience is helpful.
Responsibilities include:







Show more",N/A,11d,"https://www.glassdoor.com/job-listing/it-infrastructure-engineer-data-networking-engen-JV_IC1152990_KO0,42_KE43,48.htm?jl=1009426529855"
Reservoir Data Engineer III/IV,EQT Corporation,"Pittsburgh, PA",$86K - $121K (Glassdoor est.),"EQT is the United States largest producer of natural gas with a goal to reach Net Zero by or before 2025 (among the fastest in the industry).
From the office to the field, the #EQTeam is fueling the future. Power your potential with us.
At EQT, we are making strides toward becoming the best producer by creating long-term value for all stakeholders, including employees, landowners, communities, industry partners and investors. Our vision is to evolve EQT into a modern, connected, digitally enabled organization.
With an incredibly collaborative culture and a determined, progressive workplace, EQT was both named a National Top Workplace, as well as one of Pittsburgh's Best Places to Work!



Show more",N/A,5d,"https://www.glassdoor.com/job-listing/reservoir-data-engineer-iii-iv-eqt-corporation-JV_IC1152990_KO0,30_KE31,46.htm?jl=1009435493486"
Senior Software Engineer - Data Platform,Discord,"San Francisco, CA",$183K - $202K (Employer est.),"This position is US based only.Discord is about giving people the power to create space to find belonging in their lives. We want to make it easier for you to talk regularly with the people you care about. We want you to build genuine relationships with your friends and communities close to home or around the world. Original, reliable, playful, and relatable. These are the values that connect our users and our employees at Discord. The central Data Platform seeks to build a self-service tooling platform to make the petabytes of data at Discord easily accessible for everyone at the company. We build full-stack applications, tooling, and frameworks to improve the productivity of teams at Discord, in particular our product, analytics, and machine learning teams. Our tooling covers the end-to-end lifecycle of data from acquisition to consumption. Reporting to the Engineering Manager of Data Infrastructure, you will work on strategy that is foundational to the company and product. To learn more about Discord Engineering, read ourengineering blog here — including ""How We Create Insights From Trillion Data Points"" that this team is behind! What You'll Be Doing Lead end-to-end development of data tooling and frameworks, using modern technologies such as BigQuery, Apache Beam, Airflow, Dagster, dbt, Kubernetes, and Rust. Ensure tight-knit collaboration with leadership, cross-functional stake-holders and senior engineers across the organization. Collaborate with leadership and senior engineers across the team to define the technical vision and build on the technical roadmap for Data Platform. Work with Data Platform to ensure we have a platform with strong governance that respects our users' privacy throughout. Care deeply about business outcomes and constraints and keep them in mind as you solve hard, unbounded problems. Coach and mentor the next generation of technical leaders at Discord. You Will Thrive In This Role If 5+ years of experience as a Software Engineer. Empathy for both your internal and external users and seek feedback on your work. Ability to approach problems with first principles thinking, embrace ambiguity, and enjoy collaborative work on complex solutions. Experience defining architecture, tooling, and strategy for a large-scale data processing system. Proactive in staying up-to-date with industry trends and assessing new technologies to enhanse problem solving capabilities. Bonus Points Experience working with very high-scale data infrastructure and tooling Experience with data products on Google Cloud Platform, Kubernetes, or Airflow Full-stack development or product engineering experience The US base salary range for this full-time position is $183,000 to $201,500 + equity + benefits. Our salary ranges are determined by role and level. Within the range, individual pay is determined by additional factors, including job-related skills, experience, and relevant education or training. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include equity, or benefits.#buildbelonging #LI-Remote #LI-Hybrid #LI-HY1Why Discord?Discord is great for playing games and chilling with friends, or even building a worldwide community. We are working toward forming true connections around play and shared experiences, where genuine human connection is a click, text chat, or voice call away. A place where everyone can build genuine friendships. Your future is just a click away! Check out ourinclusion, diversity and purpose efforts, company principles, or learn more about the Life @ Discord experience!
Show more",N/A,14d,"https://www.glassdoor.com/job-listing/senior-software-engineer-data-platform-discord-JV_IC1147401_KO0,38_KE39,46.htm?jl=1009421959148"
