Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Data Engineer,TRILLIUM HEALTH RESOURCES,North Carolina,$62K - $98K (Employer est.),"Pay Plan Title: IT Application/Report Developer
Working Title: Data Engineer
FLSA Status: Exempt
Posting Salary Range: $62,221 - $98,220
Office Location: Remote in NC

POSTING DETAILS:
Make an Impact
Trillium Health Resources is a local governmental agency (LME/MCO) in North Carolina that manages serious mental health, substance use, and intellectual/developmental disability services. Serving in 46 counties, we help individuals and their families strengthen well-being and build foundations for a healthy life.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-trillium-health-resources-JV_KO0,13_KE14,39.htm?jl=1009441293957"
Azure Cloud Data Engineer,JANUS Research Group,"Newport News, VA",$85K - $125K (Employer est.),"Candidates must have an active Secret clearance and verify, before applying, that you meet the minimum requirements of the position.
Target salary range: $85,000- $125,000. The estimate displayed represents the typical salary range for this position based on experience and other factors.
As a Azure Cloud Data Engineer you will help the Army solve data federation and governance challenges using state-of-the-art cloud solutions. You will work on exciting projects, growing your skills, and work with other dedicated people who are solving mission and organizational needs. This role will work to ensure that business technology solutions align with the long-term vision and goals of AIMD, and with the existing enterprise architecture.
Tasking






Show more",N/A,24h,"https://www.glassdoor.com/job-listing/azure-cloud-data-engineer-janus-research-group-JV_IC1130305_KO0,25_KE26,46.htm?jl=1009441322105"
HR Data Engineer,YRCI,"Bethesda, MD",$92K - $121K (Glassdoor est.),"Founded in 2001, YRCI is a leading professional services firm providing Human Capital, Acquisition Support and Financial Management Services to Government and Commercial customers nationwide. At YRCI, collaborative people and innovative thinking are the driving force behind our growing success. We provide our employees a professional environment in which to find challenging, rewarding work and learning opportunities to allow them to flourish.
Professionals Driven by Excellence | Career Growth & Development | Collaboration & Innovation
These are the driving forces that make YRCI more than just your next job. Let’s build your career together.
Job Title



Show more",N/A,18d,"https://www.glassdoor.com/job-listing/hr-data-engineer-yrci-JV_IC1153817_KO0,16_KE17,21.htm?jl=1009417542100"
Data Visualization Engineer - AdOps,LG Ads Solutions,"Denver, CO",$89K - $122K (Glassdoor est.),"Location
Denver, CO
Type
Full time
Department
Engineering

LG Ad Solutions
LG Ad Solutions is a global leader in connected TV (CTV) and cross-screen advertising. We pride ourselves on delivering state-of-the-art advertising solutions that integrate seamlessly with today's ever-evolving digital media landscape.
Show more",N/A,14d,"https://www.glassdoor.com/job-listing/data-visualization-engineer-adops-lg-ads-solutions-JV_IC1148170_KO0,33_KE34,50.htm?jl=1009422783053"
Cloud Data Engineer,Detroit Tigers,"Detroit, MI",$74K - $114K (Glassdoor est.),"JOB SUMMARY:
The Detroit Tigers are currently seeking a Cloud Data Engineer, Baseball Systems. This role will be responsible for designing, managing, and automating data processes across our data architecture to support Baseball Operations initiatives. This position will report to the Director, Baseball Systems.
KEY RESPONSIBILITIES:
Design, implement, and maintain our data architecture and processing pipelines at scale.
Design, implement, and use data quality assurance frameworks to support the process of identifying inconsistent data patterns.



Show more",N/A,4d,"https://www.glassdoor.com/job-listing/cloud-data-engineer-detroit-tigers-JV_IC1134644_KO0,19_KE20,34.htm?jl=1009437427984"
Data Engineer,"The Brattle Group, Inc.","Washington, DC",$100K - $105K (Employer est.),"The Brattle Group, a privately held, global economics consulting firm, is looking for a Data Engineer to join our Boston, MA or Washington, D.C. office. The Data Engineer works in the data engineering team and alongside Brattle consulting teams to implement the latest technologies and provide expert guidance on technical workstreams. Responsibilities will range from researching and implementing new tools, communicating with external clients, and creating reproducible scripts to clean, process, or analyze data. Projects are wide-ranging with numerous opportunities for professional development, innovation, and growth.

Some of the day-to-day responsibilities of this role include:





Show more",N/A,11d,"https://www.glassdoor.com/job-listing/data-engineer-the-brattle-group-inc-JV_IC1138213_KO0,13_KE14,35.htm?jl=1009427086085"
"Data Engineer, Data Analytics",Stanley | tms,"Seattle, WA",$95K - $130K (Employer est.),"Business Intelligence Developer
Stanley
Seattle, WA

About Us
Stanley, a HAVI company, is defined by Creativity, Building and Invention. We are makers of the legendary bottle and box. Driven by purpose, passion and performance. Obsessed with making a difference. And keeping our promises. Proud of our yesterday. And focused on building the team of tomorrow.

Position Overview







Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-data-analytics-stanley-tms-JV_IC1150505_KO0,28_KE29,40.htm?jl=1009281877081"
Data Migration Engineer,Intone Networks,"Danvers, MA",$96K - $133K (Glassdoor est.),"Title: Data Migration Engineer Location: Danvers MA – Hybrid
Show more",N/A,13d,"https://www.glassdoor.com/job-listing/data-migration-engineer-intone-networks-JV_IC1154555_KO0,23_KE24,39.htm?jl=1009423534211"
Data Engineer III (Platforms),Cedar Inc,"New York, NY",$143K - $168K (Employer est.),"The Role
The Platform pillar is tasked with building, delivering, and maintaining the technology platforms that Cedar builds its business on. Our Data Engineering team is responsible for writing pipelines that aggregate data and make it available to customers and internal consumers for analysis and reporting. We also define the tools, processes, and patterns for integrating, processing, and enriching data at Cedar.
We are looking for a Data Engineer with some experience but high potential to join our small but highly efficient team. As a member of the team you will have the opportunity to work on critical projects that directly impact Cedar’s revenue and cash flows. Your first project will be to work on modernizing our Client Billing Pipeline. In the future you will have the opportunity to support our efforts to adopt DBT as a standard data transformation tool at Cedar and implement new patterns to improve data quality such as data testing and data contracts.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-iii-platforms-cedar-inc-JV_IC1132348_KO0,27_KE28,37.htm?jl=1009400367731"
Data Engineer II,FedEx Dataworks,"Memphis, TN",$8K - $10K (Employer est.),"The Data Engineer II plays an important role within Dataworks, focused on delivering engineering innovation within Dataworks, helping to execute the delivery of key business initiatives. S/he acts as a “universal translator” between IT, business, software engineers and data scientists, collaborating with these multi-disciplinary teams. The Data Engineer II will contribute to the adherence of technical standards for data engineering, including the selection and refinements of foundational technical components. S/he will work on those aspects of the Dataworks platform that govern the ingestion, transformation, and pipelining of data assets, both to end users within FedEx and into data products and services that may be externally facing. Day-to-day, s/he will be deeply involved in code development and medium-scale deployments. Under general supervision, supports the design, build, test, and maintenance of data pipelines at big data scale. Assists with updating data from multiple data sources. Other functionalities under general supervision include working on batch processing of collected data and matching its format to the stored data, making sure that the data is ready to be processed and analyzed. Assists with keeping the ecosystem and the pipeline optimized and efficient, troubleshooting standard performance, data related problems and providing L3 support. Provides recommendations to moderately complex issues.




Show more",N/A,19d,"https://www.glassdoor.com/job-listing/data-engineer-ii-fedex-dataworks-JV_IC1144463_KO0,16_KE17,32.htm?jl=1009416544804"
